gene	ensgid	group	in_B3	in_F144	lof_pLI	lof_LOEUF	mis_z	pli_ge_09	loeuf_lt_035	mis_z_top_decile	mis_z_ge_309	biological_category	biological_source
EIF3G	ENSG00000130811	bg	False	False	0.99958	0.408	2.6765	True	False	False	False		
EIF3H	ENSG00000147677	bg	False	False	7.0136e-05	0.799	1.6424	False	False	False	False		
EIF3J	ENSG00000104131	bg	False	False	0.53152	0.677	0.9483	False	False	False	False		
EIF3K	ENSG00000178982	bg	False	False	1.0712e-07	1.041	1.2264	False	False	False	False		
EIF3L	ENSG00000100129	bg	False	False	0.035874	0.585	3.403	False	False	True	True		
EIF3M	ENSG00000149100	bg	False	False	0.12509	0.631	1.6399	False	False	False	False		
EIF4A1	ENSG00000161960	bg	False	False	1.0	0.337	5.217	True	True	True	True		
EIF4A2	ENSG00000156976	bg	False	False	1.0	0.298	5.4571	True	True	True	True		
EIF4A3	ENSG00000141543	bg	False	False	1.0	0.084	5.2237	True	True	True	True		
EIF4B	ENSG00000063046	bg	False	False	1.0	0.176	3.5295	True	True	True	True		
EIF4E	ENSG00000151247	bg	False	False	1.0	0.09	3.4842	True	True	True	True		
EIF4E1B	ENSG00000175766	bg	False	False	1.6195e-06	1.085	-0.19488	False	False	False	False		
EIF4E2	ENSG00000135930	bg	False	False	0.080345	0.726	1.8285	False	False	False	False		
EIF4E3	ENSG00000163412	bg	False	False	1.7415e-08	1.256	-0.70309	False	False	False	False		
EIF4EBP1	ENSG00000187840	bg	False	False	0.0535	1.282	-0.044756	False	False	False	False		
EIF4EBP2	ENSG00000148730	bg	False	False	0.04334	1.607	-1.2662	False	False	False	False		
EIF4EBP3	ENSG00000243056	bg	False	False	0.00013354	1.594	-0.19973	False	False	False	False		
EIF4ENIF1	ENSG00000184708	bg	False	False	1.0	0.285	2.5489	True	True	False	False		
EIF4G1	ENSG00000114867	bg	False	False	1.0	0.048	4.0767	True	True	True	True		
EIF4G2	ENSG00000110321	bg	False	False	1.0	0.117	3.5343	True	True	True	True		
EIF4G3	ENSG00000075151	bg	False	False	1.0	0.213	3.5699	True	True	True	True		
EIF4H	ENSG00000106682	bg	False	False	0.97569	0.507	2.7848	True	False	False	False		
EIF5	ENSG00000100664	B3	True	False	0.99999	0.347	2.4897	True	True	False	False	enzyme/translation	UniProt P55010 — translation initiation factor (GTPase-activating)
EIF5A	ENSG00000132507	bg	False	False	0.99865	0.278	4.4862	True	True	True	True		
EIF5A2	ENSG00000163577	bg	False	False	0.0013192	1.301	0.98438	False	False	False	False		
EIF5AL1	ENSG00000253626	bg	False	False	0.20754	1.225	2.1776	False	False	False	False		
EIF5B	ENSG00000158417	bg	False	False	1.0	0.382	3.6127	True	False	True	True		
EIF6	ENSG00000242372	bg	False	False	0.65122	0.623	1.5989	False	False	False	False		
EIPR1	ENSG00000032389	bg	False	False	0.00021645	0.76	1.4553	False	False	False	False		
ELAC1	ENSG00000141642	bg	False	False	4.1173e-05	1.045	0.96333	False	False	False	False		
ELAC2	ENSG00000006744	bg	False	False	2.8305e-27	1.02	-0.074804	False	False	False	False		
ELANE	ENSG00000197561	bg	False	False	0.00041675	1.245	-0.55026	False	False	False	False		
ELAPOR1	ENSG00000116299	bg	False	False	6.9846e-15	0.768	2.0288	False	False	False	False		
ELAPOR2	ENSG00000164659	bg	False	False	1.1501e-16	0.939	1.0284	False	False	False	False		
ELAVL1	ENSG00000066044	bg	False	False	1.0	0.158	5.2521	True	True	True	True		
ELAVL2	ENSG00000107105	bg	False	False	1.0	0.249	0.56236	True	True	False	False		
ELAVL3	ENSG00000196361	bg	False	False	0.99908	0.412	4.1267	True	False	True	True		
ELAVL4	ENSG00000162374	F144	False	True	1.0	0.137	3.6603	True	True	True	True		
ELF1	ENSG00000120690	bg	False	False	0.021991	0.656	1.6083	False	False	False	False		
ELF2	ENSG00000109381	bg	False	False	1.0	0.271	2.8502	True	True	False	False		
ELF3	ENSG00000163435	bg	False	False	0.014955	0.678	2.0139	False	False	False	False		
ELF5	ENSG00000135374	bg	False	False	4.4793e-09	1.064	0.48334	False	False	False	False		
ELFN1	ENSG00000225968	bg	False	False	0.0033237	1.841	-0.95313	False	False	False	False		
ELFN2	ENSG00000166897	bg	False	False	0.71553	0.566	3.0022	False	False	True	False		
ELK3	ENSG00000111145	bg	False	False	0.7215	0.608	1.1297	False	False	False	False		
ELK4	ENSG00000158711	bg	False	False	0.002078	0.856	1.0696	False	False	False	False		
ELL	ENSG00000105656	bg	False	False	0.99714	0.466	0.16474	True	False	False	False		
ELL2	ENSG00000118985	bg	False	False	1.0	0.348	2.7409	True	True	False	False		
ELL3	ENSG00000128886	bg	False	False	1.201e-13	1.018	0.58647	False	False	False	False		
ELMO1	ENSG00000155849	bg	False	False	1.0	0.343	4.0945	True	True	True	True		
ELMO2	ENSG00000062598	bg	False	False	0.98091	0.486	4.6759	True	False	True	True		
ELMO3	ENSG00000102890	bg	False	False	2.5115000000000002e-25	1.093	0.35909	False	False	False	False		
ELMOD1	ENSG00000110675	bg	False	False	0.14738	0.665	1.0745	False	False	False	False		
ELMOD2	ENSG00000179387	bg	False	False	0.00015299	0.881	0.35648	False	False	False	False		
ELMOD3	ENSG00000115459	bg	False	False	2.1153e-08	1.021	1.1518	False	False	False	False		
ELN	ENSG00000049540	bg	False	False	7.6169e-10	0.696	1.2583	False	False	False	False		
ELOA	ENSG00000011007	bg	False	False	1.0	0.285	2.1575	True	True	False	False		
ELOA2	ENSG00000206181	bg	False	False	0.044847	1.841	-2.7145	False	False	False	False		
ELOB	ENSG00000103363	bg	False	False	0.62297	0.788	0.68858	False	False	False	False		
ELOC	ENSG00000154582	bg	False	False	0.98531	0.304	3.1977	True	True	True	True		
ELOVL1	ENSG00000066322	bg	False	False	0.99896	0.427	2.1943	True	False	False	False		
ELOVL2	ENSG00000197977	bg	False	False	9.61e-14	1.336	0.53239	False	False	False	False		
ELOVL3	ENSG00000119915	bg	False	False	0.0037082	1.134	1.5541	False	False	False	False		
ELOVL4	ENSG00000118402	bg	False	False	0.12588	0.649	1.718	False	False	False	False		
ELOVL5	ENSG00000012660	bg	False	False	0.99902	0.405	1.866	True	False	False	False		
ELOVL6	ENSG00000170522	bg	False	False	0.99683	0.428	4.1115	True	False	True	True		
ELOVL7	ENSG00000164181	bg	False	False	8.9339e-05	1.035	0.56208	False	False	False	False		
ELP1	ENSG00000070061	bg	False	False	1.1953e-23	0.803	0.98074	False	False	False	False		
ELP2	ENSG00000134759	bg	False	False	5.4885e-16	0.869	0.88423	False	False	False	False		
ELP3	ENSG00000134014	bg	False	False	1.8128e-12	0.936	1.839	False	False	False	False		
ELP4	ENSG00000109911	bg	False	False	5.2279e-11	1.377	0.023458	False	False	False	False		
ELP5	ENSG00000170291	bg	False	False	1.4748e-12	1.329	0.32561	False	False	False	False		
ELP6	ENSG00000163832	bg	False	False	3.2451e-06	1.204	0.70302	False	False	False	False		
ELSPBP1	ENSG00000169393	bg	False	False	8.318e-15	1.467	0.15698	False	False	False	False		
EMB	ENSG00000170571	bg	False	False	0.0062839	0.889	-0.36037	False	False	False	False		
EMC1	ENSG00000127463	bg	False	False	1.0051000000000001e-25	0.913	2.3619	False	False	False	False		
EMC10	ENSG00000161671	bg	False	False	3.4071e-13	1.606	-1.7206	False	False	False	False		
EMC2	ENSG00000104412	bg	False	False	3.2488e-05	1.84	-0.54987	False	False	False	False		
EMC3	ENSG00000125037	bg	False	False	0.91578	0.548	2.1756	True	False	False	False		
EMC4	ENSG00000128463	bg	False	False	0.34265	0.707	1.6562	False	False	False	False		
EMC6	ENSG00000127774	bg	False	False	0.77762	0.734	0.98385	False	False	False	False		
EMC7	ENSG00000134153	bg	False	False	0.99861	0.375	1.8558	True	False	False	False		
EMC8	ENSG00000131148	bg	False	False	0.023214	0.915	0.18611	False	False	False	False		
EMC9	ENSG00000100908	bg	False	False	4.3378e-06	1.115	0.60967	False	False	False	False		
EMCN	ENSG00000164035	bg	False	False	8.4788e-06	1.355	0.28662	False	False	False	False		
EME1	ENSG00000154920	bg	False	False	2.8937e-20	1.248	1.0855	False	False	False	False		
EME2	ENSG00000197774	bg	False	False	3.5651e-28	1.942	-3.3838	False	False	False	False		
EMG1	ENSG00000126749	bg	False	False	2.5463e-07	1.228	0.4878	False	False	False	False		
EMID1	ENSG00000186998	bg	False	False	5.1538e-11	0.994	-0.38644	False	False	False	False		
EMILIN1	ENSG00000138080	bg	False	False	3.194e-10	0.832	-0.13608	False	False	False	False		
EMILIN2	ENSG00000132205	bg	False	False	8.8336e-21	1.047	-0.88715	False	False	False	False		
EMILIN3	ENSG00000183798	bg	False	False	4.3645e-14	1.127	0.57544	False	False	False	False		
EML1	ENSG00000066629	bg	False	False	1.0	0.36	3.3528	True	False	True	True		
EML2	ENSG00000125746	bg	False	False	1.1628e-13	0.845	0.78272	False	False	False	False		
EML3	ENSG00000149499	bg	False	False	2.4595e-06	0.63	2.0603	False	False	False	False		
EML4	ENSG00000143924	bg	False	False	3.8359e-07	0.68	-1.334	False	False	False	False		
EML5	ENSG00000165521	bg	False	False	1.2485e-08	0.565	3.0963	False	False	True	True		
EML6	ENSG00000214595	bg	False	False	1.4134e-21	0.726	-2.9156	False	False	False	False		
EMP1	ENSG00000134531	bg	False	False	0.81803	0.629	0.97487	False	False	False	False		
EMP2	ENSG00000213853	bg	False	False	1.3258e-09	1.855	-0.6926	False	False	False	False		
EMP3	ENSG00000142227	bg	False	False	0.00038448	1.021	0.71389	False	False	False	False		
EMX1	ENSG00000135638	bg	False	False	0.0011646	1.324	-2.0683	False	False	False	False		
EMX2	ENSG00000170370	bg	False	False	0.97789	0.499	0.93448	True	False	False	False		
EN1	ENSG00000163064	bg	False	False	0.52279	0.724	-0.61377	False	False	False	False		
EN2	ENSG00000164778	bg	False	False	0.39034	0.775	-2.3468	False	False	False	False		
ENAH	ENSG00000154380	bg	False	False	0.99976	0.423	1.727	True	False	False	False		
ENAM	ENSG00000132464	bg	False	False	0.0011786	0.892	0.61748	False	False	False	False		
ENC1	ENSG00000171617	bg	False	False	0.06394	0.653	3.872	False	False	True	True		
ENDOD1	ENSG00000149218	bg	False	False	1.2227e-05	1.843	-0.46117	False	False	False	False		
ENDOG	ENSG00000167136	bg	False	False	5.215e-10	1.847	-1.5398	False	False	False	False		
ENDOU	ENSG00000111405	bg	False	False	1.9393e-12	1.094	1.0548	False	False	False	False		
ENDOV	ENSG00000173818	bg	False	False	3.4618e-14	1.439	-2.1508	False	False	False	False		
ENG	ENSG00000106991	bg	False	False	1.0	0.374	1.285	True	False	False	False		
ENGASE	ENSG00000167280	bg	False	False	2.6141000000000004e-19	1.018	0.63261	False	False	False	False		
ENHO	ENSG00000168913	bg	False	False	0.00669	1.871	0.59254	False	False	False	False		
ENKD1	ENSG00000124074	bg	False	False	2.841e-15	1.474	-0.27066	False	False	False	False		
ENKUR	ENSG00000151023	bg	False	False	5.264e-05	0.98	0.23968	False	False	False	False		
ENO1	ENSG00000074800	bg	False	False	9.2993e-08	0.926	1.4001	False	False	False	False		
ENO2	ENSG00000111674	bg	False	False	0.84151	0.542	2.5255	False	False	False	False		
ENO3	ENSG00000108515	bg	False	False	4.7177e-15	1.181	0.26335	False	False	False	False		
ENO4	ENSG00000188316	bg	False	False	7.6907e-08	0.888	0.73538	False	False	False	False		
ENOPH1	ENSG00000145293	bg	False	False	0.10121	0.733	1.7577	False	False	False	False		
ENOSF1	ENSG00000132199	bg	False	False	2.5468999999999997e-22	1.236	-0.12381	False	False	False	False		
ENOX1	ENSG00000120658	bg	False	False	0.0012261	0.627	3.0798	False	False	True	False		
ENPEP	ENSG00000138792	bg	False	False	5.6977000000000005e-25	1.026	0.09047	False	False	False	False		
ENPP1	ENSG00000197594	bg	False	False	1.7403e-05	0.729	1.2082	False	False	False	False		
ENPP2	ENSG00000136960	bg	False	False	0.041819	0.639	1.6684	False	False	False	False		
ENPP3	ENSG00000154269	bg	False	False	2.0771e-15	1.211	0.51033	False	False	False	False		
ENPP4	ENSG00000001561	bg	False	False	0.0081339	0.835	1.2833	False	False	False	False		
ENPP5	ENSG00000112796	bg	False	False	1.7865e-09	1.113	0.85835	False	False	False	False		
ENPP6	ENSG00000164303	bg	False	False	1.8045e-08	0.997	0.64076	False	False	False	False		
ENPP7	ENSG00000182156	bg	False	False	2.9803e-15	1.471	0.94102	False	False	False	False		
ENSA	ENSG00000143420	bg	False	False	0.27003	0.79	1.6723	False	False	False	False		
ENTHD1	ENSG00000176177	bg	False	False	2.0256e-05	0.928	1.3001	False	False	False	False		
ENTPD1	ENSG00000138185	bg	False	False	1.218e-05	0.737	1.937	False	False	False	False		
ENTPD2	ENSG00000054179	bg	False	False	1.8583e-18	1.377	-1.3652	False	False	False	False		
ENTPD3	ENSG00000168032	bg	False	False	2.673e-24	1.454	1.151	False	False	False	False		
ENTPD4	ENSG00000197217	bg	False	False	4.6672e-13	0.905	0.36154	False	False	False	False		
ENTPD5	ENSG00000187097	bg	False	False	1.6701e-08	0.945	0.78992	False	False	False	False		
ENTPD6	ENSG00000197586	bg	False	False	1.458e-11	0.949	0.40707	False	False	False	False		
ENTPD7	ENSG00000198018	bg	False	False	1.4373e-10	0.813	1.87	False	False	False	False		
ENTPD8	ENSG00000188833	bg	False	False	1.563e-09	0.989	-0.15145	False	False	False	False		
ENTR1	ENSG00000165689	bg	False	False	1.5895e-14	1.338	-1.3295	False	False	False	False		
ENY2	ENSG00000120533	bg	False	False	0.63633	0.739	2.0861	False	False	False	False		
EOGT	ENSG00000163378	bg	False	False	4.8218e-07	1.121	-0.4678	False	False	False	False		
EOMES	ENSG00000163508	bg	False	False	0.98623	0.493	-0.15048	True	False	False	False		
EP300	ENSG00000100393	bg	False	False	1.0	0.164	2.6711	True	True	False	False		
EP400	ENSG00000183495	bg	False	False	1.0	0.365	4.1628	True	False	True	True		
EPAS1	ENSG00000116016	bg	False	False	1.0	0.366	0.22063	True	False	False	False		
EPB41	ENSG00000159023	bg	False	False	3.8406e-11	0.738	2.3584	False	False	False	False		
EPB41L1	ENSG00000088367	bg	False	False	1.0	0.386	4.2506	True	False	True	True		
EPB41L2	ENSG00000079819	bg	False	False	0.76184	0.514	1.2455	False	False	False	False		
EPB41L3	ENSG00000082397	bg	False	False	0.0023911	0.562	1.4002	False	False	False	False		
EPB41L4A	ENSG00000129595	bg	False	False	1.3959e-18	1.261	-1.4707	False	False	False	False		
EPB41L4B	ENSG00000095203	bg	False	False	1.0	0.286	1.0978	True	True	False	False		
EPB41L5	ENSG00000115109	bg	False	False	0.015529	0.609	0.98176	False	False	False	False		
EPB42	ENSG00000166947	bg	False	False	1.1421e-09	0.771	2.2129	False	False	False	False		
EPC1	ENSG00000120616	bg	False	False	1.0	0.229	3.3837	True	True	True	True		
EPC2	ENSG00000135999	bg	False	False	1.0	0.203	2.4978	True	True	False	False		
EPCAM	ENSG00000119888	bg	False	False	4.2301e-06	1.341	-1.9634	False	False	False	False		
EPDR1	ENSG00000086289	bg	False	False	1.9408e-12	1.626	-1.7141	False	False	False	False		
EPG5	ENSG00000152223	bg	False	False	1.6929e-14	0.58	1.7487	False	False	False	False		
EPGN	ENSG00000182585	bg	False	False	1.724e-06	1.456	-0.26831	False	False	False	False		
EPHA1	ENSG00000146904	bg	False	False	7.5026e-26	0.989	1.2079	False	False	False	False		
EPHA10	ENSG00000183317	bg	False	False	4.7268e-50	1.481	-1.1369	False	False	False	False		
EPHA2	ENSG00000142627	bg	False	False	2.8105e-07	0.652	2.667	False	False	False	False		
EPHA3	ENSG00000044524	bg	False	False	0.80091	0.508	0.84553	False	False	False	False		
EPHA4	ENSG00000116106	bg	False	False	1.0	0.256	4.0297	True	True	True	True		
EPHA5	ENSG00000145242	bg	False	False	2.369e-09	0.711	0.71188	False	False	False	False		
EPHA6	ENSG00000080224	bg	False	False	6.0266e-05	0.633	1.6758	False	False	False	False		
EPHA7	ENSG00000135333	bg	False	False	1.0	0.282	3.0052	True	True	True	False		
EPHA8	ENSG00000070886	bg	False	False	3.9755e-10	0.717	1.127	False	False	False	False		
EPHB1	ENSG00000154928	bg	False	False	0.9998	0.441	3.0453	True	False	True	False		
EPHB2	ENSG00000133216	bg	False	False	1.0	0.265	4.124	True	True	True	True		
EPHB3	ENSG00000182580	bg	False	False	0.99991	0.435	3.668	True	False	True	True		
EPHB4	ENSG00000196411	bg	False	False	4.3123e-06	0.645	1.6946	False	False	False	False		
EPHB6	ENSG00000106123	bg	False	False	1.8466e-05	0.607	2.5377	False	False	False	False		
EPHX1	ENSG00000143819	bg	False	False	1.676e-12	1.1	0.73864	False	False	False	False		
EPHX2	ENSG00000120915	bg	False	False	4.8925999999999995e-22	1.093	0.023314	False	False	False	False		
EPHX3	ENSG00000105131	bg	False	False	7.2593e-12	1.166	0.41551	False	False	False	False		
EPHX4	ENSG00000172031	bg	False	False	1.9053e-05	0.931	1.0832	False	False	False	False		
EPM2A	ENSG00000112425	bg	False	False	4.004e-07	1.191	-0.9603	False	False	False	False		
EPM2AIP1	ENSG00000178567	bg	False	False	0.0046378	0.691	1.7551	False	False	False	False		
EPN1	ENSG00000063245	bg	False	False	0.00029205	0.736	-0.19146	False	False	False	False		
EPN2	ENSG00000072134	B3	True	False	1.3396e-05	0.804	1.5505	False	False	False	False	scaffold/trafficking	UniProt O95208 — epsin-2 endocytic adaptor
EPN3	ENSG00000049283	bg	False	False	8.142700000000001e-19	1.251	-1.1128	False	False	False	False		
EPO	ENSG00000130427	bg	False	False	0.026938	0.819	0.85156	False	False	False	False		
EPOP	ENSG00000273604	bg	False	False	9.5437e-07	1.896	-2.1295	False	False	False	False		
EPOR	ENSG00000187266	bg	False	False	0.00041923	0.787	1.0613	False	False	False	False		
EPPIN	ENSG00000101448	bg	False	False	0.0010445	1.345	0.62014	False	False	False	False		
EPPK1	ENSG00000261150	bg	False	False	0.12331	1.929	-4.3254	False	False	False	False		
EPRS1	ENSG00000136628	bg	False	False	0.019945	0.549	1.9921	False	False	False	False		
EPS15	ENSG00000085832	bg	False	False	1.4697e-08	0.849	0.37095	False	False	False	False		
EPS15L1	ENSG00000127527	bg	False	False	0.99949	0.453	2.5635	True	False	False	False		
EPS8	ENSG00000151491	bg	False	False	0.99945	0.443	0.70282	True	False	False	False		
EPS8L1	ENSG00000131037	bg	False	False	1.9346000000000002e-41	1.361	-1.6141	False	False	False	False		
EPS8L2	ENSG00000177106	bg	False	False	6.181300000000001e-25	1.164	-3.3533	False	False	False	False		
EPS8L3	ENSG00000198758	bg	False	False	5.0836e-24	1.052	0.56071	False	False	False	False		
EPSTI1	ENSG00000133106	bg	False	False	2.6035e-18	1.59	-0.28512	False	False	False	False		
EPX	ENSG00000121053	bg	False	False	3.3395e-15	0.984	0.73859	False	False	False	False		
EPYC	ENSG00000083782	bg	False	False	5.1233e-07	1.396	0.61342	False	False	False	False		
EQTN	ENSG00000120160	bg	False	False	2.3742e-07	1.732	-0.32171	False	False	False	False		
ERAL1	ENSG00000132591	bg	False	False	5.3521e-08	0.844	0.88773	False	False	False	False		
ERAP1	ENSG00000164307	bg	False	False	1.2589e-21	0.947	1.8456	False	False	False	False		
ERAP2	ENSG00000164308	bg	False	False	1.4112e-37	1.284	0.15583	False	False	False	False		
ERBB2	ENSG00000141736	bg	False	False	0.063119	0.518	4.2475	False	False	True	True		
ERBB3	ENSG00000065361	bg	False	False	2.6217e-16	0.695	3.3038	False	False	True	True		
ERBB4	ENSG00000178568	bg	False	False	1.0	0.357	2.8306	True	False	False	False		
ERBIN	ENSG00000112851	bg	False	False	0.72343	0.526	0.16586	False	False	False	False		
ERC1	ENSG00000082805	bg	False	False	0.78992	0.503	2.0596	False	False	False	False		
ERC2	ENSG00000187672	bg	False	False	0.99151	0.476	2.6924	True	False	False	False		
ERCC1	ENSG00000012061	bg	False	False	9.5936e-13	1.306	0.86216	False	False	False	False		
ERCC2	ENSG00000104884	bg	False	False	6.8729e-28	1.089	0.6086	False	False	False	False		
ERCC3	ENSG00000163161	bg	False	False	3.838e-11	0.797	2.079	False	False	False	False		
ERCC4	ENSG00000175595	bg	False	False	3.5282e-11	0.984	-0.57103	False	False	False	False		
ERCC5	ENSG00000134899	bg	False	False	1.02e-13	0.766	1.1266	False	False	False	False		
ERCC6	ENSG00000225830	bg	False	False	1.2087e-23	0.803	1.7245	False	False	False	False		
ERCC6L2	ENSG00000182150	bg	False	False	2.4418e-13	0.792	2.3101	False	False	False	False		
ERCC8	ENSG00000049167	bg	False	False	1.7192e-11	1.608	-0.66199	False	False	False	False		
EREG	ENSG00000124882	bg	False	False	4.6661e-06	1.843	-0.35306	False	False	False	False		
ERF	ENSG00000105722	bg	False	False	0.99787	0.443	1.658	True	False	False	False		
ERFE	ENSG00000178752	bg	False	False	6.2266e-12	1.697	-1.8605	False	False	False	False		
ERFL	ENSG00000268041	bg	False	False	0.80895	0.603	1.7464	False	False	False	False		
ERG	ENSG00000157554	bg	False	False	1.0	0.234	2.9353	True	True	True	False		
ERG28	ENSG00000133935	bg	False	False	0.028333	0.951	1.7785	False	False	False	False		
ERGIC1	ENSG00000113719	bg	False	False	0.035998	0.683	2.1287	False	False	False	False		
ERGIC2	ENSG00000087502	bg	False	False	0.014258	1.266	0.57394	False	False	False	False		
ERGIC3	ENSG00000125991	bg	False	False	2.2603e-06	0.781	1.7279	False	False	False	False		
ERH	ENSG00000100632	bg	False	False	0.97267	0.43	2.5994	True	False	False	False		
ERI1	ENSG00000104626	bg	False	False	4.2781e-07	1.526	-2.4737	False	False	False	False		
ERI2	ENSG00000196678	bg	False	False	5.1804e-10	0.981	1.7558	False	False	False	False		
ERI3	ENSG00000117419	bg	False	False	0.11807	0.651	2.2497	False	False	False	False		
ERICH1	ENSG00000104714	bg	False	False	5.5654e-24	1.79	-3.3692	False	False	False	False		
ERICH3	ENSG00000178965	bg	False	False	2.0832e-36	1.119	-1.5131	False	False	False	False		
ERICH4	ENSG00000204978	bg	False	False	0.014157	1.89	-1.0563	False	False	False	False		
ERICH5	ENSG00000177459	bg	False	False	3.3465e-07	1.148	0.55954	False	False	False	False		
ERICH6	ENSG00000163645	bg	False	False	1.1e-18	1.147	0.28976	False	False	False	False		
ERICH6B	ENSG00000165837	bg	False	False	1.0471000000000001e-19	1.023	1.0197	False	False	False	False		
ERLEC1	ENSG00000068912	bg	False	False	3.0637e-08	0.946	0.28363	False	False	False	False		
ERLIN1	ENSG00000107566	bg	False	False	0.043212	1.049	1.5345	False	False	False	False		
ERLIN2	ENSG00000147475	bg	False	False	0.010039	0.703	3.3092	False	False	True	True		
ERMAP	ENSG00000164010	bg	False	False	7.0546e-08	0.913	0.95549	False	False	False	False		
ERMARD	ENSG00000130023	bg	False	False	1.5088e-16	0.996	0.047435	False	False	False	False		
ERMN	ENSG00000136541	bg	False	False	0.0025356	0.963	0.08778	False	False	False	False		
ERMP1	ENSG00000099219	bg	False	False	2.9344e-27	1.239	-2.3918	False	False	False	False		
ERN1	ENSG00000178607	bg	False	False	0.95278	0.498	2.9016	True	False	True	False		
ERN2	ENSG00000134398	bg	False	False	9.9981e-37	1.209	0.0027208	False	False	False	False		
ERO1A	ENSG00000197930	bg	False	False	2.6773e-05	1.216	0.52867	False	False	False	False		
ERO1B	ENSG00000086619	bg	False	False	2.7214e-05	0.835	0.43392	False	False	False	False		
ERP27	ENSG00000139055	bg	False	False	3.8588e-06	1.072	-0.3622	False	False	False	False		
ERP29	ENSG00000089248	bg	False	False	0.0014255	0.962	1.0843	False	False	False	False		
ERP44	ENSG00000023318	bg	False	False	0.15389	0.816	1.6527	False	False	False	False		
ERRFI1	ENSG00000116285	bg	False	False	0.00071228	1.088	1.7764	False	False	False	False		
ERVFRD-1	ENSG00000244476	bg	False	False	1.2391e-08	0.957	1.704	False	False	False	False		
ERVMER34-1	ENSG00000226887	bg	False	False	0.35331	1.821	0.4515	False	False	False	False		
ERVV-2	ENSG00000268964	bg	False	False	0.36856	1.451	2.1459	False	False	False	False		
ESAM	ENSG00000149564	bg	False	False	3.7021e-07	1.009	0.55466	False	False	False	False		
ESCO1	ENSG00000141446	bg	False	False	0.92536	0.511	1.7476	True	False	False	False		
ESCO2	ENSG00000171320	bg	False	False	2.084e-12	1.013	0.46974	False	False	False	False		
ESD	ENSG00000139684	bg	False	False	1.912e-07	1.515	-0.062671	False	False	False	False		
ESF1	ENSG00000089048	bg	False	False	1.3007e-10	0.854	0.84726	False	False	False	False		
ESM1	ENSG00000164283	bg	False	False	0.15425	0.862	1.27	False	False	False	False		
ESPL1	ENSG00000135476	bg	False	False	1.0	0.292	6.0698	True	True	True	True		
ESPN	ENSG00000187017	bg	False	False	7.2662e-24	1.307	-1.0887	False	False	False	False		
ESPNL	ENSG00000144488	bg	False	False	4.0718e-20	1.651	-3.0173	False	False	False	False		
ESR1	ENSG00000091831	bg	False	False	0.99795	0.456	2.4607	True	False	False	False		
ESR2	ENSG00000140009	bg	False	False	5.9579e-10	1.002	-0.14268	False	False	False	False		
ESRP1	ENSG00000104413	bg	False	False	0.99932	0.445	2.2465	True	False	False	False		
ESRP2	ENSG00000103067	bg	False	False	4.9601e-09	0.753	1.4707	False	False	False	False		
ESRRA	ENSG00000173153	bg	False	False	0.99354	0.458	2.2452	True	False	False	False		
ESRRB	ENSG00000119715	bg	False	False	0.79243	0.56	1.791	False	False	False	False		
ESRRG	ENSG00000196482	bg	False	False	0.99434	0.464	2.7657	True	False	False	False		
ESS2	ENSG00000100056	bg	False	False	8.4357e-07	0.844	0.48942	False	False	False	False		
ESYT1	ENSG00000139641	bg	False	False	6.871799999999999e-28	0.839	1.7815	False	False	False	False		
ESYT2	ENSG00000117868	bg	False	False	3.6326e-08	0.684	0.54452	False	False	False	False		
ESYT3	ENSG00000158220	bg	False	False	2.3370000000000002e-30	1.093	0.18369	False	False	False	False		
ETAA1	ENSG00000143971	bg	False	False	2.8415e-10	0.849	0.029236	False	False	False	False		
ETF1	ENSG00000120705	bg	False	False	1.0	0.19	5.828	True	True	True	True		
ETFA	ENSG00000140374	bg	False	False	0.0029774	1.166	0.7966	False	False	False	False		
ETFB	ENSG00000105379	bg	False	False	2.0928e-05	1.1	1.2791	False	False	False	False		
ETFBKMT	ENSG00000139160	bg	False	False	0.00010064	1.026	0.57386	False	False	False	False		
ETFDH	ENSG00000171503	bg	False	False	7.6935e-06	1.126	0.50137	False	False	False	False		
ETFRF1	ENSG00000205707	bg	False	False	0.00018653	1.858	0.088473	False	False	False	False		
ETHE1	ENSG00000105755	bg	False	False	0.00038514	0.97	0.58782	False	False	False	False		
ETNK1	ENSG00000139163	bg	False	False	0.99938	0.369	1.6046	True	False	False	False		
ETNK2	ENSG00000143845	bg	False	False	3.0331e-09	1.018	0.63552	False	False	False	False		
ETNPPL	ENSG00000164089	bg	False	False	0.5077	0.651	1.4378	False	False	False	False		
ETS1	ENSG00000134954	bg	False	False	0.99981	0.393	2.6084	True	False	False	False		
ETS2	ENSG00000157557	bg	False	False	0.99905	0.434	2.9027	True	False	True	False		
ETV1	ENSG00000006468	bg	False	False	0.054283	0.658	0.51117	False	False	False	False		
ETV2	ENSG00000105672	bg	False	False	2.878e-10	1.448	-1.3407	False	False	False	False		
ETV3	ENSG00000117036	bg	False	False	0.99781	0.447	2.8658	True	False	False	False		
ETV3L	ENSG00000253831	bg	False	False	1.8e-11	1.452	0.363	False	False	False	False		
ETV4	ENSG00000175832	bg	False	False	4.5126e-09	0.821	0.89876	False	False	False	False		
ETV5	ENSG00000244405	bg	False	False	1.0	0.233	3.0847	True	True	True	False		
ETV6	ENSG00000139083	bg	False	False	0.99891	0.44	2.2005	True	False	False	False		
ETV7	ENSG00000010030	bg	False	False	4.0249e-16	1.384	-0.026882	False	False	False	False		
